Class,IoU,Acc,Dice,Fscore,Precision,Recall
buildings,70.5,80.03,82.69,82.69,85.55,80.03
background,96.6,98.5,98.27,98.27,98.04,98.5
buildings,71.23,81.36,83.2,83.2,85.12,81.36
background,96.58,98.71,98.26,98.26,97.82,98.71
buildings,70.43,79.09,82.65,82.65,86.55,79.09
background,96.75,98.59,98.35,98.35,98.1,98.59
buildings,72.25,81.91,83.89,83.89,85.97,81.91
background,96.24,98.75,98.08,98.08,97.43,98.75
buildings,67.26,75.24,80.42,80.42,86.37,75.24
background,96.42,98.51,98.18,98.18,97.84,98.51
buildings,69.56,79.39,82.04,82.04,84.88,79.39
background,96.36,98.53,98.14,98.14,97.76,98.53
buildings,68.96,78.57,81.63,81.63,84.93,78.57
background,96.71,98.59,98.33,98.33,98.07,98.59
buildings,71.92,81.56,83.67,83.67,85.88,81.56
background,96.61,98.56,98.28,98.28,97.99,98.56
buildings,71.15,80.85,83.15,83.15,85.58,80.85
background,96.77,98.6,98.36,98.36,98.12,98.6
buildings,72.42,82.04,84.0,84.0,86.06,82.04
background,96.81,98.57,98.38,98.38,98.19,98.57
buildings,72.88,82.79,84.31,84.31,85.9,82.79
background,96.8,98.69,98.38,98.38,98.07,98.69
buildings,72.51,81.56,84.06,84.06,86.73,81.56
background,96.9,98.66,98.42,98.42,98.19,98.66
buildings,73.41,82.76,84.67,84.67,86.67,82.76
background,96.83,98.75,98.39,98.39,98.03,98.75
buildings,72.56,81.14,84.1,84.1,87.28,81.14
background,96.77,98.77,98.36,98.36,97.94,98.77
buildings,71.95,80.33,83.69,83.69,87.35,80.33
background,96.89,98.4,98.42,98.42,98.45,98.4
buildings,74.0,85.26,85.06,85.06,84.86,85.26
background,96.86,98.56,98.41,98.41,98.26,98.56
buildings,73.36,83.41,84.63,84.63,85.89,83.41
background,96.89,98.52,98.42,98.42,98.32,98.52
buildings,73.66,84.04,84.83,84.83,85.64,84.04
background,97.05,98.79,98.5,98.5,98.22,98.79
buildings,74.45,83.03,85.35,85.35,87.81,83.03
