Class,IoU,Acc,Dice,Fscore,Precision,Recall
buildings,54.21,62.04,70.31,70.31,81.11,62.04
background,93.68,98.11,96.74,96.74,95.4,98.11
buildings,46.76,55.13,63.72,63.72,75.49,55.13
background,94.4,97.94,97.12,97.12,96.32,97.94
buildings,53.92,64.48,70.06,70.06,76.71,64.48
background,94.63,97.9,97.24,97.24,96.59,97.9
buildings,56.04,67.21,71.82,71.82,77.12,67.21
background,94.32,97.66,97.08,97.08,96.5,97.66
buildings,54.3,66.34,70.38,70.38,74.94,66.34
background,94.79,98.14,97.33,97.33,96.53,98.14
buildings,56.51,66.5,72.21,72.21,79.0,66.5
background,94.36,97.57,97.1,97.1,96.63,97.57
buildings,55.06,67.74,71.02,71.02,74.62,67.74
background,94.81,98.55,97.34,97.34,96.15,98.55
buildings,55.0,62.56,70.97,70.97,81.98,62.56
background,94.54,98.07,97.19,97.19,96.32,98.07
buildings,54.52,64.49,70.57,70.57,77.91,64.49
background,94.7,98.35,97.28,97.28,96.23,98.35
buildings,54.84,63.44,70.83,70.83,80.18,63.44
background,94.3,97.77,97.07,97.07,96.37,97.77
buildings,53.72,65.08,69.89,69.89,75.48,65.08
background,94.82,98.25,97.34,97.34,96.46,98.25
buildings,56.37,65.75,72.1,72.1,79.81,65.75
background,94.89,97.84,97.38,97.38,96.92,97.84
buildings,58.51,70.5,73.82,73.82,77.47,70.5
background,94.76,98.67,97.31,97.31,95.99,98.67
buildings,54.02,60.85,70.15,70.15,82.81,60.85
background,94.84,98.56,97.35,97.35,96.18,98.56
buildings,55.28,62.85,71.2,71.2,82.12,62.85
background,95.07,97.87,97.47,97.47,97.08,97.87
buildings,59.94,72.08,74.95,74.95,78.06,72.08
background,94.88,97.86,97.37,97.37,96.89,97.86
buildings,58.36,70.18,73.7,73.7,77.6,70.18
background,94.65,98.08,97.25,97.25,96.43,98.08
buildings,55.44,65.52,71.33,71.33,78.28,65.52
background,94.95,97.83,97.41,97.41,97.0,97.83
buildings,59.09,71.28,74.29,74.29,77.56,71.28
background,95.22,98.14,97.55,97.55,96.98,98.14
buildings,60.3,70.96,75.23,75.23,80.06,70.96
background,95.21,97.88,97.55,97.55,97.21,97.88
buildings,61.1,73.37,75.85,75.85,78.5,73.37
background,94.89,97.71,97.38,97.38,97.05,97.71
buildings,58.99,71.79,74.21,74.21,76.8,71.79
background,94.44,98.22,97.14,97.14,96.08,98.22
buildings,53.02,61.97,69.3,69.3,78.59,61.97
background,94.46,97.91,97.15,97.15,96.41,97.91
buildings,54.56,65.38,70.6,70.6,76.72,65.38
background,94.82,97.64,97.34,97.34,97.04,97.64
buildings,58.63,71.75,73.92,73.92,76.23,71.75
background,95.13,98.59,97.5,97.5,96.44,98.59
buildings,57.76,65.49,73.23,73.23,83.03,65.49
background,95.34,98.08,97.62,97.62,97.15,98.08
buildings,61.53,72.74,76.18,76.18,79.98,72.74
background,95.37,97.9,97.63,97.63,97.36,97.9
buildings,62.42,74.83,76.86,76.86,79.0,74.83
background,95.31,98.12,97.6,97.6,97.09,98.12
buildings,61.16,72.09,75.9,75.9,80.13,72.09
